Descriptive_JobTitle,CL,skills,rec_city,Rec_location,Actual_billrate,predicted_billrate
Agile PM,High,"Active Directory,Management,Microsoft Excel,Microsoft Visio,Project Management,SS7",Spring,Texas,120.0,98.99980000000004
APPS SYSTEMS ENGINEER 5,Medium,"Ab Initio,COM,Data Analysis,Direct3D,Engineering,ETL,Management,Software Development,SQL,Training,UNIX",Minneapolis,Minnesota,71.0,77.51270000000001
Java Developer,Medium,"Apache,Architecture,C++,Engineering,Management,Microsoft Access,Python",Charlotte,North Carolina,92.39,93.97669999999992
Sr. Java developer,Medium,Java,Chicago,Illinois,110.0,102.7325
Java Developer,High,"Azure,CSS,Engineering,hadoop,HTML,J2ME,Java,PostgreSQL,Python,Quality Assurance,RDBMS,Ruby,SDLC,Shell,Software Engineer,Spring,SQL,UNIX,XML",McLean,Virginia,121.73,117.71629999999992
Business Intelligence Engineer II,Medium,"Compliance,Data Analysis,Engineering,ETL,Management,Microsoft Excel,Microsoft Office,Risk Management,SQL",Seattle,Washington,82.33,79.91939999999997
Production/Application Support Analyst,Medium,"GIS,IIS,Java,Linux,Perl,Shell,SQL,SS7",Jersey City,New Jersey,87.0,82.40060000000001
ETL Developer,Medium,"Cisco,ETL,Focus,TIBCO,Procurement,Informatica",Charlotte,North Carolina,99.74,90.44439999999996
Data Center Technical Operations Engineer II,Medium,"Engineering,STE",Herndon,Virginia,64.77,69.89429999999997
Developer,Medium,"ASP,C++,CGI,HTML,Java,Multimedia,Perl,Web Development,XML",Minneapolis,Minnesota,80.5,88.762
Assembly Technician,Low,"Engineering,Microsoft Excel",Sunnyvale,California,40.0,78.20069999999998
Project Coordinator II,Medium,"Change Management,COM,Direct3D,EDI,Procurement,Project Coordinator,Remedy,WAN",Chicago,Illinois,80.03,78.21360000000003
L2 SME,Medium,"Architecture,BizTalk,DB2,DHCP,Disaster Recovery,DNS,Engineering,Firewall,ITIL,Linux,Management,MCSE,Microsoft Access,Network Design,Network Management,Network Security,Oracle,Perl,Python,SAN,Shell,SQL,SQL Server,UNIX,VMware,VPN,WebSphere,Win32,Windows 2000,Windows 2003,Windows 98,Wireless",Holmdel,New Jersey,85.5,87.67659999999997
Online Third Party Assessor,Medium,"CISSP,ITIL",Chicago,Illinois,113.96,107.85799999999992
Software Engineer,High,"SAS, CSS, AS",Redmond,Washington,89.0,43.7224
IT Project Manager,Medium,"COM,Data Analysis,Information Security,Management,Program Management,Project Management",Charlotte,North Carolina,88.18,83.42380000000004
Project Manager II,Medium,"Direct3D,Focus,Management,SAP,Training",Waukegan,Illinois,86.0,87.68730000000004
Java Developer,High,"Architecture,DB2,J2ME,Management,Oracle,Research,Training",New York,New York,125.0,99.928
APPS SYSTEMS ENGINEER,Medium,"Oracle, Management, Oracle Database",Glen Allen,Virginia,80.5,73.03170000000001
Sr. InfoSec PM,Medium,Management,Fort Mill,South Carolina,99.0,93.4844
Sr QA Analyst,Medium,"EDI,Linux,Microsoft Excel,Oracle,Shell,SQL",Charlotte,North Carolina,73.96,83.73179999999996
Developer,High,"ER,html,Mac,Software Engineer,STE,Training,XP",New York,New York,175.0,112.949
SQL Developer with Hadoop,Medium,"DB2,DBA,Microsoft Access,SQL,SQL Server,XML",Charlotte,North Carolina,85.5,94.84539999999998
Communications Manager II,Medium,"Direct3D,Tandem",Bellevue,Washington,85.81,79.96510000000002
Business Analyst,Medium,"Business Analyst,Compliance,Management",Portland,Oregon,85.5,81.97829999999998
Recruiter - Recruiter II,Medium,"Chemistry,COM,Focus,Management,Microsoft Excel,Microsoft Office,Microsoft Outlook,Microsoft Word,Recruiting,Research,Software Development",Seattle,Washington,78.72,78.72000000000007
Asset Manager,Medium,"Compliance,ITIL,Management,Direct3D",Dallas,Texas,80.0,88.5358
Mid Level Java developer,Medium,Spring,Richmond,Virginia,90.61,97.19029999999994
Developer,Medium,"Oracle, architecture, Automation, Informatica, SQL, COM, SOA, SOAP, Tibco, WebMethods",Charlotte,North Carolina,82.0,89.53860000000003
Recruiter III,Medium,"Focus,Recruiting,Research",Seattle,Washington,88.51,86.37780000000008
Financial Analyst,High,"Microsoft Excel,Oracle",Sunnyvale,California,73.55,76.32199999999997
Sr Python Developer,Medium,Python,Jersey City,New Jersey,96.93,100.90700000000002
Java Developer,High,"Automation,CSS,Engineering,Java,MySQL,Oracle,SQL,Web Development",Irving,Texas,75.0,82.20129999999999
PROJECT COORDINATOR,Low,"Management,Microsoft Access,Project Management,Training,other",Charlotte,North Carolina,40.0,84.5334
DevOps Engineer,Medium,Focus,Richmond,Virginia,85.5,100.08060000000005
Project Manager,High,"ant,COM,Engineering,ER,Focus,OSS,research,STE,Visio,word,XP",San Francisco,California,104.0,109.2061
Project Manager,High,"Business Development,Management,Product Management",Mountain View,California,80.0,85.8616
Engineer I (Video Firmware),Low,"Architecture 
,DSP",San Diego,California,45.24,80.67509999999999
Project Manager,Medium,Delivery - Project Manager Mid,Union,New Jersey,79.0,85.77480000000001
Instructional Designer,Low,"InDesign,Microsoft Office,Microsoft Visio,Photoshop,Training",Charlotte,North Carolina,65.0,86.5208
Technical Project Manager II,Medium,"COM,EPIC,Marketing,Product Management,Software Development,WAN,Management",Chicago,Illinois,85.5,84.1644
BUSINESS SYS CONSULTANT,Medium,"e-commerce, Management",Saint Louis Park,Minnesota,68.0,72.0849
Software Dev Engineer TEST-II,Medium,"Automation,C#,C++,Engineering,Linux,Management,Perl,Quality Assurance,SDE,SDET,Software Development,Software Testing",Seattle,Washington,88.61,94.0389
Senior Devops Engineer,Medium,Architecture,Southlake,Texas,85.87,104.51529999999995
Java Developer,High,"ETL,Java,SQL,XSL,XSLT",New York,New York,87.65,95.09299999999996
Business Development Associate,Low,"COM,Microsoft Excel",Seattle,Washington,50.0,82.68099999999997
IT Project Manager,High,IT Project Manager 5,Tempe,Arizona,109.4,92.8764
Business Analyst,High,"Direct3D, BA, linux",Chicago,Illinois,89.0,78.35059999999997
Scrum Master,Medium,"Compliance,Information Security,Microsoft Access,STE,Training,Windows XP",Charlotte,North Carolina,85.5,90.6066
Project Manager,High,"Architecture,Information Security,Software Engineer,Systems Integration,Training",Charlotte,North Carolina,88.18,91.10770000000002
Business Analyst,High,"Architecture,Direct3D,Management,Marketing,Microsoft Excel,Microsoft Word",Plano,Texas,85.0,84.8284
Sr Hadoop Developer,Medium,COM,Pennington,New Jersey,83.56,100.99009999999998
DevOps Lead,High,"AWS,Java",Jacksonville,Florida,134.0,97.05249999999997
Analytics Developer,Medium,"Windows 2003, ETL, Management, Quality Control, SQL, Java, Apache, Linux, Windows 98, Software Development, JDBC, Architecture, Engineering, Data Analysis, Windows 2000, UNIX, SDLC, hadoop, Cloud Computing",Irving,Texas,129.0,107.3307
iOS Developer,Medium,"Apple,Focus",Charlotte,North Carolina,99.74,89.29660000000005
SAP CRM Service - SAP - Customer Care System,High,"CRM,EAI,TIBCO",New Orleans,Louisiana,104.0,83.63860000000001
Network Engineer II,Medium,".NET,CCNA",Cary,North Carolina,85.5,87.29809999999999
Senior Graphic Designer II,Low,"CSS,Graphic Design,Microsoft Office,Photoshop,Research,Training",North Chicago,Illinois,54.96,81.85240000000003
Big Data Hadoop / Hive / Java/ J2EE/ Oracle Developer(Senior),Medium,"ETL,Shell,SQL",Sunnyvale,California,113.85,119.1584
Software Engineer,High,"ETL,Other,Hadoop,JAVA,python,C++,SQL,COM,Engineering,Linux,WAN",New York,New York,150.0,117.1923
Direct - Front End Developer - John Fonseca,Medium,"AJAX,Architecture,Management,Software Engineer,Spring",Bellevue,Washington,85.5,98.61739999999998
Sr Project Manager,Medium,Management,Bellevue,Washington,85.5,94.7509
Technical Project Manager,Medium,"Automation,Cadence,CCIE,CCNP,Firewall,Network Design,Project Management,TCP/IP,VPN,Win32,Windows 2000,Windows 98",Mc Lean,Virginia,85.5,100.8788
BI Analyst,Medium,"Engineering,Microsoft Excel",Mountain View,California,100.0,86.4925
Sr. iOS Developer,Medium,Apple,Austin,Texas,85.5,93.8495
BUSINESS SYSTEMS CONSULTANT 5,Medium,"Focus,Systems Analysis,Training",Charlotte,North Carolina,66.5,66.88029999999999
Sr DevOps Engineer,Medium,".NET,Automation,SQL,VSTS",Charlotte,North Carolina,85.0,94.49509999999998
BI Developer,Medium,"COM,DB2",Jersey City,New Jersey,99.74,86.755
UX Copy Writer,Medium,"EDI,Marketing",San Francisco,California,85.5,106.87169999999998
Sharepoint Support,Low,Training,New York,New York,59.32,61.29870000000001
Communications Specialist,Low,"EDI,Focus,Training,VMS",Atlanta,Georgia,61.0,79.6351
Sr. Product Analyst/BA,Medium,"Management,Microsoft Excel,Microsoft Word,Research",Fort Mill,South Carolina,85.5,91.1427
Recruiter - Recruiter III,Medium,word,Seattle,Washington,88.51,79.67060000000009
Project Manager,Medium,Management,Fort Mill,South Carolina,99.0,85.9701
SAP ABAP Developer,High,"ABAP,SAP,SAP ABAP",Dallas,Texas,85.0,88.15029999999999
Quant Developer,Medium,"COM,SQL,Java",Charlotte,North Carolina,92.39,77.63369999999995
Research Associate - III,Low,"Data Analysis,Management,Research",Foster City,California,69.2,95.3634
QA Consultant,Medium,"Automation,ETL,Management,Microsoft Excel,Quality Center,SQL,Teradata",Charlotte,North Carolina,85.79,76.8605
Project Manager 5,Medium,"Direct3D,Project Management,Risk Management",Springfield,Massachusetts,85.5,85.9602
Engineer-IT III(CAN),High,"Cisco,DB2,DBA,Management,Project Management,Training",Vancouver,British Columbia,130.0,91.5403
Java Developer,Medium,"Management,OOP",Concord,California,90.0,92.15160000000002
APPS SYSTEMS ENGINEER,Medium,Other,Charlotte,North Carolina,80.5,76.1
Quantititive Analyst,High,"Microsoft Excel,Microsoft Office",New York,New York,100.0,84.9693
Recruiter - Recruiter III,Medium,"Direct3D,Focus,Microsoft Office,Microsoft Outlook,Recruiting,Research,WAN",Seattle,Washington,85.5,85.16270000000011
Application Security Engineer,High,"ASP,ASP.NET,C#,C++,Direct3D,Engineering,Java,Management,SQL,Training,VB.NET,Visual Basic,WAN",Vienna,Virginia,127.62,110.99440000000004
Project Manager,High,"Logistics,Mainframe,Microsoft Access,Microsoft Office,Microsoft Outlook",Fort Mill,South Carolina,81.36,86.27974999999998
Java Developer,Medium,"Content Management,Documentum,FileNet,Management,Oracle,Oracle Database,SOA,SOAP,Spring,UML",Westlake Village,California,96.93,88.93230000000008
IT - Web Developer II,Medium,"CSS,JavaScript,Web Development",Minnetonka,Minnesota,84.0,84.88959999999999
Administrative Assistant,Medium,".NET,J2ME,Java,Logistics,Microsoft Office,Procurement,Training,Windows 2000,Windows 2003,Windows 98",Reno,Nevada,85.5,80.18990000000002
Business Analyst,High,"XML,management, SQL",Charlotte,North Carolina,94.0,73.54620000000001
iOS Developer,Medium,Architecture,Charlotte,North Carolina,99.74,90.58210000000008
Technical Architect,High,"ETL,SQL",San Francisco,California,170.0,103.1025
People Operations Specialist,Low,"Management,Marketing,Microsoft Excel,Program Management,Project Management,Training",San Francisco,California,50.75,66.8474
PeopleSoft Systems Analyst,High,"er,ERP,Management,Microsoft Excel,Oracle,PeopleSoft,Procurement,Project Management,Purchasing,SQL,Systems Analyst,Toad",Eden Prairie,Minnesota,105.0,90.43120000000005
Product Manager,High,Cloud,San Mateo,California,150.0,107.9285
AEM Developer,Medium,"Apache,CSS,HTML,Java,XML",Minneapolis,Minnesota,85.5,84.72939999999998
Developer,High,"CSS,Engineering,Hibernate,HTML,JavaScript,JDBC,Management,SDLC,Software Engineer,Spring,STE,Windows XP",Chicago,Illinois,76.0,94.71520000000004
NodeJs Front End Developer,High,"architecture,J2ME,Linux,Other,UNIX",Irving,Texas,125.0,93.0531
TPC,Low,"Change Management,Management,Networking,Training",Minneapolis,Minnesota,60.0,92.4365
User Experience Designer,Low,"Microsoft Excel,Research,WAN",McLean,Virginia,95.0,135.3411000000001
Data Privacy Analyst,Medium,"Architecture,Management,Systems Analysis",Tempe,Arizona,99.0,83.21760000000002
IT Business Analyst,High,"Data Analysis,Engineering,Management,Microsoft Excel",Mountain View,California,130.0,90.2157
Java/J2EE Developer,Medium,"Architecture,CSS,Database Design,Hibernate,JMS,Network Security,SOA,SOAP,Software Development,Spring,SQL,Systems Analysis,UML,WebSphere,XML",Alpharetta,Georgia,75.0,78.8022
Senior UX/UI Designer/Developer,Medium,".NET,Architecture,CSS,Engineering,Focus,J2ME,Java,JavaScript,Management,Microsoft Office,Research,SDLC,Visual Studio,Web Design",Union,New Jersey,104.0,92.69660000000002
Desktop Support/Technical Support III,Low,"Change Management,Disaster Recovery,ITIL,Management,Networking,Project Management,Windows 2000,Windows 2003,Windows 98,Windows XP",Naperville,Illinois,44.0,67.25989999999999
IT Business Analyst,Low,"EDI,EPIC,Marketing,Microsoft Access,Microsoft Excel,Microsoft Office,Microsoft Word,Project Management,Research,SQL,T-SQL,Teradata,Training,Visual Basic",Pasadena,California,63.5,83.55919999999998
Data Center Technical Operations Engineer I,Medium,"Automation,Training",Seattle,Washington,55.86,61.03110000000001
Software Engineer III � Java/Caching/Spring,Medium,"Automation,J2ME,Management,Software Engineer,Spring",Reston,Virginia,85.5,94.3728
Senior Project Manager,High,PLC,Nashville,Tennessee,121.25,89.9929
APPS SYSTEMS ENGINEER,Medium,"Automation, Quality Center, JSP, Compliance, Management, STL, SQL, Quality Assurance, SDLC, Software Development, SAN, Java, HTML",San Francisco,California,71.0,78.04763333333334
Mobile Tester,Medium,"Management,Software Development",San Francisco,California,82.23,97.9548
Test Technician,Medium,Training,San Diego,California,85.5,84.9804
Microstrategy Developer,High,"COM,ETL,hadoop,Java,MicroStrategy,Oracle,SQL",Charlotte,North Carolina,92.39,85.5134
APPS SYSTEMS ENGINEER 6,Medium,APPS SYSTEMS ENGINEER 6,Saint Louis,Missouri,80.5,77.7959
Data Scientist,Medium,"Architecture,Management,Python,SAS",Auburn Hills,Michigan,85.78,97.25680000000008
Informatica Developer,Medium,"Business Analyst,COM,Informatica,Linux,Oracle,Perl,Python,SQL,UNIX",Charlotte,North Carolina,92.39,87.47230000000008
Workday functional,Medium,"COM,Microsoft Excel",Foster City,California,100.0,109.93869999999995
Validation and Emulation Engineer,Medium,"Architecture,Automation,C++,Engineering,Java,Multimedia,Perl,Software Engineer,Tcl,Wireless,Management",San Diego,California,85.5,87.78119999999998
Avaya Engineer,Medium,"Architecture,Avaya,Cisco,LAN,Networking,PBX,SIP,VoIP,WAN,Engineering",Charlotte,North Carolina,81.61,92.35709999999992
Project Manager,High,Management,Jersey City,New Jersey,120.0,103.78960000000002
Solution Architect,Medium,"Architecture,Java",Charlotte,North Carolina,99.74,97.3855999999999
Mulesoft Developer,Medium,"AJAX,CSS,HTML,Java,LDAP,Oracle,SOA,SOAP,Software Development,SQL,TCP/IP,XML,XSL,XSLT",Santa Ana,California,81.9,100.45389999999998
ASE6,Medium,APPS SYSTEMS ENGINEER,Charlotte,North Carolina,80.5,80.63729999999998
Senior Web Developer,Medium,"Engineering,Management,Shell,SQL,Web Development",Temple Terrace,Florida,85.5,79.9896
Android Developer,Medium,"e-commerce,Engineering,Networking",Sunnyvale,California,85.5,130.49130000000005
Cyber Threat Analyst III,Medium,"Direct3D,Information Security,Training,Networking,Research",Raleigh,North Carolina,75.9,88.13280000000003
Software Engineer III,Medium,"Automation,CAD,Management,Networking,TCP/IP,UNIX",Calgary,Alberta,69.0,87.0411
Data Architect,High,Informatica,Saint Louis,Missouri,95.0,74.95260000000002
Engineers,High,"research,C++, SQL",Bellevue,Washington,120.2,72.29270000000001
SAP Proeject Manager,Medium,SAP,Irvine,California,85.5,104.3957
Big Data Engineer,Medium,Management,McLean,Virginia,141.71,138.67659999999998
Cloud Platform Architect,High,"Apache,Architecture,Azure,Engineering,Java,JMS,Microsoft Word,Spring",San Francisco,California,125.0,116.6737
Web Developer,Medium,"Architecture,Engineering,HTML,J2ME,Java,Linux,Spring,Struts,UNIX",Plano,Texas,85.5,97.93689999999998
Java/Spark,Medium,"hadoop,Oracle,Python,RDBMS,SQL,SQL Server,Teradata",Charlotte,North Carolina,90.0,81.72119999999995
BSC6,Medium,"Architecture,Direct3D,Engineering,Management,Project Management,Systems Analysis,Systems Analyst,Training",Saint Louis Park,Minnesota,76.0,77.6995
BUSINESS SYSTEMS CONSULTANT,Medium,"Information Security, Microsoft Access, Training, Architecture, Compliance, Direct3D, Engineering, Systems Analysis, Project Management, Management",Charlotte,North Carolina,76.0,71.345
Innovation Programs Manager,Medium,"Data Analysis,Logistics,Management,Marketing,Research,Training",Chicago,Illinois,98.5,99.88180000000004
Recruiter - Recruiter II,Medium,"Direct3D,Focus,Microsoft Office,Microsoft Word,Research,WAN",Seattle,Washington,85.5,78.98360000000008
SAP APO Analyst,Medium,"er,ERP,Management",The Woodlands,Texas,85.5,104.56279999999998
Node.js Developer,Low,"HTML,J2ME,Java",St. Louis,Missouri,65.0,86.74310000000001
Sr. Technical Program Manager,Medium,"Management,Marketing,Program Management",San Francisco,California,125.0,109.8137
Inventory Manager,Medium,"Cadence,Engineering,Management,Six Sigma",Mountain View,California,70.0,86.66859999999998
Administrative Business Partner,Medium,"Engineering,Microsoft Office",San Francisco,California,85.5,83.51279999999998
Infrastructure Engineer,Medium,"Active Directory,AJAX,Apache,Compliance,DNS,Engineering,Focus,hadoop,HTML,Java,JavaScript,LDAP,Linux,Management,Networking,Oracle,Project Management,Python,SAS,Shell,SQL,SQL Server,Teradata,Tomcat,UNIX,WebLogic,WebSphere,XML",Charlotte,North Carolina,99.74,88.61269999999992
Developer: Web - IV,High,".NET,ADO,AJAX,CSS,JavaScript,SOA,SOAP",Chandler,Arizona,120.0,85.65509999999996
Sr Software Engineer,Medium,"Architecture,COM,Engineering,Hibernate,Software Engineer,Spring,SQL",Eden Prairie,Minnesota,95.0,104.271
INFO SECURITY ENGINEER 5,High,"Engineering,Linux,Python,Network Security",Winston-Salem,North Carolina,85.5,63.4194
User Experience Designer III,Medium,"Architecture,CSS,Dreamweaver,Focus,HTML,Illustrator,Microsoft Excel,Photoshop,Research,Software Development,Management",Seattle,Washington,88.32,79.84089999999999
Project Manager,High,"Direct3D,Linux,Management,Microsoft Excel,Microsoft Project",Chicago,Illinois,99.0,88.22150000000002
Non-IT Project Manager 4,Medium,"Direct3D,Engineering,Microsoft Project,Microsoft Word,Project Management,Quality Control,Research",Omaha,Nebraska,108.89,90.27165
Appian Developer,Medium,Java,Charlotte,North Carolina,92.0,99.78509999999996
Java Scala Developer,Medium,"ETL,hadoop",Charlotte,North Carolina,92.39,77.8798
Project Coordinator-Intermediate,Medium,"Marketing,Microsoft Excel,Microsoft Office",Portland,Oregon,85.5,74.9988
Information Security Engineer,High,"Architecture,Automation,Engineering,IDS,Management,Microsoft Excel,Microsoft Office,Microsoft Word,Windows 2000,Windows 2003,Windows 98",Plano,Texas,135.0,90.6608
Mulesoft Developer,High,"Java,Oracle",Charlotte,North Carolina,85.5,88.5566
SDET analyst lead -,Medium,".NET,COM,Compliance,Disaster Recovery,IDS,Quality Control,SDE,SDET,Software Development,SPC,VMS,Windows 2000,Windows 2003,Windows 98",Seattle,Washington,112.5,100.11209999999996
Developer,Medium,"Other,NICE,Applications,architect,building,code,commercial,environment,knowledge,Kotlin,Media,platform,Play,role,SAN,SDK,serve,Social,Storage,Team,Threading,with,an,Continuous,friendly,drive,Key,Produce,working,Standards,technologies, Software, Android SDK, web, Office, develop, Tuning",San Diego,California,100.0,101.3667
Technical Program Product Manager III,Medium,"Automation,Management,Microsoft Office,Microsoft Project,Project Management,Risk Management,SQL,Systems Integration",Seattle,Washington,114.48,106.63780000000004
Product Designer,Medium,"Other, Access, Photoshop, Illustrator, Business, Communication, production, Security, management, research, architecture, budget, Design, Sketch",Redmond,Washington,40.0,40.505
Java/Solutions Architect,Medium,"Architecture,Management,WebSphere",Pennington,New Jersey,104.63,88.94560000000006
Mulesoft Developer,Medium,Java,Westlake Village,California,104.63,87.39340000000004
sales force Admin,Medium,"COM,CRM,Management",Suwanee,Georgia,75.0,92.72880000000004
Technical Writer,Medium,"EDI,Technical Writer,Training,other",Charlotte,North Carolina,52.0,72.83690000000001
Recruiter II,Medium,".NET,COM,Focus,Management,Microsoft Excel,Microsoft Office,Microsoft Outlook,Microsoft Word,Program Management,Recruiting,Research,SDE,SDET",Seattle,Washington,78.72,81.74480000000008
Marketing Video Production Assistant,Medium,"marketing,research,ant, EDI, COM,Other,iOS,ER,OSS,STE,XP",New York,New York,80.0,89.77879999999999
ASE1,Medium,".NET,Automation,C#,Compliance,Oracle,Quality Assurance,Research,Software Development,SQL,SQL Server,Sybase,Technical Support,Training,WCF,WPF",Charlotte,North Carolina,92.75,92.6345
Cyber Security Director,Medium,er,Denver,Colorado,85.5,90.9523
Software Dev Engineer II,High,"Engineering,ETL,hadoop,Software Development,SQL",Bellevue,Washington,114.0,87.64830000000002
Security Operations Center (SOC) Analyst,Low,"CISSP,Engineering,Firewall,Intrusion,ITIL,J2ME,Java,Management,Microsoft Access,Microsoft Exchange,Network Security,Recruiting,Risk Management,WAN",Santa Ana,California,61.14,83.81209999999997
Graphic/Web Designer III,Low,"COM,Content Management,Direct3D,Illustrator,Management,Marketing,Web Development",San Anselmo,California,42.58,93.64899999999996
DevOps Engineer,Medium,"Automation,Cadence,ClearCase,Engineering,J2ME,Linux,Management,MySQL,SQL,UNIX",Richmond,Virginia,111.0,94.65810000000002
Project Manager,High,"Focus,Microsoft Office,Microsoft Project,Project Coordinator,Project Management",South San Francisco,California,85.5,92.35200000000005
Devops Build Engineer,Low,"Automation,Direct3D,Linux,MySQL,Oracle,Perl,Python,Ruby,Shell,SQL,SQL Server,Windows 2000,Windows 2003,Windows 98",Huntersville,North Carolina,70.0,93.3463
Recruiter IV,High,"COM,Direct3D,Focus,Management,Purchasing,Recruiting,Research",San Francisco,California,85.5,104.87230000000004
IT Project Manager III,Medium,Direct3D,Chicago,Illinois,69.73,82.01119999999992
Content Markeing Consultant,High,"EDI,SAN",San Francisco,California,116.4,90.3387
Mobile Architecture - Android Technical Mobile,Medium,"Architecture,Java",Irving,Texas,70.0,88.07959999999999
SAP Developer,High,"ABAP,CRM,Direct3D,EDI,er,Management,Microsoft Access,Oracle,OSS,PL/SQL,RDBMS,SAP,SOA,SQL,XML",Dimondale,Michigan,142.5,97.72870000000005
ETL Informatica Developer,Medium,"Management,Microsoft Access,Oracle,Quality Assurance,SDLC,Shell,Software Development,SQL,Training,UNIX",Jersey City,New Jersey,96.93,95.49150000000004
IT Project Manager III,Medium,".NET,Direct3D,Microsoft Excel,Project Management,Training",Chicago,Illinois,85.5,81.63369999999992
Business Analyst,High,"Automation,Management",Chicago,Illinois,44.52,85.44489999999998
BUSINESS SYSTEMS CONSULTANT 4,Medium,Training,Minneapolis,Minnesota,57.0,63.1451
Project Test Manager,Medium,"Business Analyst,COM,Compliance,Data Analysis,hadoop,Information Security,Training",Charlotte,North Carolina,88.18,75.4074
Java Developer,High,"Architecture,Engineering,Training",Vienna,Virginia,100.35,109.428
Sr. Java Developer,Medium,"Architecture,CSS,Engineering,HTML,JavaScript,Microsoft Access,Ruby,Software Engineer,Spring",Austin,Texas,88.1,87.42170000000006
Business Analyst,High,"CRM,Management,SDLC",Bridgewater,New Jersey,75.0,77.92969999999998
Data Analyst,Low,"ETL,Pro*C,SAP,SAS,SQL",Rancho Cucamonga,California,57.2,70.77269999999999
Technical Program Manager II,High,"Architecture,Engineering,Networking,Project Management",Reston,Virginia,90.0,102.5281
Developer,High,"Other,Business,programming,software,Account,Architectural,Brand,CAN,Category,Clarify,Client,code,Computer,Content,CONTRACT,contractor,Coordinate,Coordinating,Core,culture,Customer,Deadlines,Delivering,developing,education,Employee,environment,expenses,few,Focus,full,go,group,health,Information,interested,internal,Interviews,issue,issues,IT,knowledge,Language,LEAD,learning,Legacy,Log,Logs,MAX,Microservice,Model,nursing,Office,online,people,perform,Person,pick,PM,Process,product,products,quality,report,require,Review,role,Science,script,selling,senior,Service,Solutions,Source,Sourcing,Suppliers,systems,Talent,Teaching,Team,tech,technology,tests,Time,tools,Transaction,Utilize,Web,with,Works,Write,YES,an,AS,back,BE,department,division,Engineers,External,competition,feedback,idea,Improvements,integrated,integrate,IntelliJ,Phase,innovative,languages,OR,part,ROSE,rational,work,working,Rating,startup,this,Candidates,degree,goals,Independent,IS,suite,technologies,tough,approach,all,thorough,Many,DO,Quick,set,We,Any, Clearcase, ECS, Project,top,next, Delivery",Philadelphia,Pennsylvania,120.0,82.51160000000002
Progress Developer,Medium,UNIX,Charlotte,North Carolina,80.5,78.67219999999998
Business Analyst,High,"COM,Research",New York,New York,72.15,83.15000000000002
Sr. Engineer,Medium,"Other,.net,software development,embedded,Architecture,Automation,C#,Engineering,Software Engineer,STE,Windows 2000,Windows 2003,Windows 98",Dublin,California,121.2,98.96479999999998
Risk Officer,Low,"Access,Agendas,app,application,AS,Assignments,Audit,Audits,background,banking,Candidates,Cassandra,changing,Communication,Compliance,Coordinate,Dealing,decommission,deliverables,detail,dev,disaster,dynamic,ecommerce,eDUCATE,Excel,External,Fast,financial,Functional,Governance,industry,Infrastructure,interaction,internal,interpersonal,IS,JAVA,knowledge,LEAD,line,Maintain,Manage,management,Materials,meet,meetings,Member,MS,next,Office,officer,OneNote,online,OR,Oracle,organizational,organized,Outlook,outside,oversight,paced,Password,Patches,Plan,practices,Prepare,problem,Procedures,Processes,production,Proficient,Program,Project,Projects,recovery,regulations,regulatory,Remediation,Reports,Requirements,research,Retirement,Review,reviewing,reviews,RISK,role,Schedule,Scripts,security,Server,Sharepoint,software,Software Patches,SQL,streamlining,suite,support,supporting,Team,Teams,technical,technology,Testing,timely,tools,TRACKING,updates,Vulnerability,Web,with,work,working,workload,written,Assist",Charlotte,North Carolina,65.57,87.06749999999997
Recruiter II,Medium,"Account Management,Focus,Management,Recruiting",Seattle,Washington,78.72,79.92770000000007
APPS SYSTEMS ENGINEER,Medium,"Compliance, SQL, UNIX, PL/SQL, Oracle, CSS",Charlotte,North Carolina,80.5,80.215
Business Data Analyst,Medium,"PL/SQL,SQL,SQL Server",Denver,Colorado,70.5,81.69470000000001
Network Project/Program Manager,High,"Change Management,Focus,Microsoft Excel,Microsoft Office,Microsoft Project,Training",Lincolnshire,Illinois,125.0,87.42079999999999
Program Manager,High,Data Analysis,Sunnyvale,California,55.0,81.60300000000001
Security & Compliance Technical Analyst -,Medium,"Compliance,Direct3D,Management,Project Management,Systems Analysis,Systems Integration",Pleasanton,California,93.07,93.30330000000002
Cloud Engineer,Medium,"Azure,Engineering,Java,Linux,Perl,Python,Shell,UNIX",Wilmington,Delaware,120.0,113.53909999999996
BUSINESS SYSTEMS CONSULTANT,Medium,"Systems Analysis, Engineering, Architecture, Training, Direct3D",Charlotte,North Carolina,80.5,76.0
"Developer, Web",Medium,"Architecture,Azure,e-commerce,Engineering,hadoop,Hibernate,Java,Management,Oracle,SOA,SOAP,Software Engineer",San Francisco,California,105.0,102.9253
SAP Solution Manager,Medium,AP Solution Manager,Redmond,Washington,80.0,90.7846
Business System Consultant -2,Low,"Compliance,Focus",Charlotte,North Carolina,42.0,76.1999
User Experience Designer,Medium,"Architecture,Business Analyst,CSS,Photoshop,Research",Minneapolis,Minnesota,85.5,86.6977
Business Analyst III,Medium,Management,Elk Grove Village,Illinois,85.5,76.85230000000001
Sr ETL Informatica Developer,High,"Oracle,Shell,SQL",Jersey City,New Jersey,127.59,98.4533
Java Microservices Developer,Medium,Java,Temple Terrace,Florida,85.5,72.3749
Technical Program Manager,Medium,"Change Management,Project Management",Cambridge,Massachusetts,85.5,89.4282
Project Manager,High,"Management,Research",Foster City,California,85.5,84.70000000000003
"Business Process Analyst, Staff",Medium,"Change Management,COM,Management,Oracle,Project Management,SAP",San Diego,California,85.5,84.2371
